text,disease
"I am dealing with dry cough, loss of smell and fever.",COVID-19
"For the last few days, I noticed diarrhea, nausea, vomiting and fever.",Food Poisoning
"I am suffering from wheezing, cough, shortness of breath and chest tightness.",Asthma
"I feel headache, weakness and stomach pain.",Typhoid
"I have symptoms like sneezing, skin rash and runny nose.",Allergy
"I feel chills, sore throat and fever.",Flu
"My main problems are joint pain, reduced movement and stiffness.",Arthritis
"I am suffering from vomiting, fever and stomach cramps.",Food Poisoning
"I feel stomach cramps, vomiting, nausea and diarrhea.",Food Poisoning
"For the last few days, I noticed headache, sweating and chills.",Malaria
"I have symptoms like headache, fever, dry cough and fatigue.",COVID-19
My main problems are fever and cough.,Flu
"Lately I am having nausea, stomach pain, bloating and indigestion.",Gastritis
My main problems are weakness and loss of appetite.,Typhoid
Lately I am having joint pain and high fever.,Dengue
I have been experiencing fever and stomach cramps for the past few days.,Food Poisoning
"I have symptoms like swelling, joint pain and stiffness.",Arthritis
"Lately I am having headache, loss of appetite and prolonged fever.",Typhoid
Lately I am having sneezing and mild cough.,Common Cold
I am suffering from vomiting and severe headache.,Migraine
Lately I am having nausea and vomiting.,Migraine
"For the last few days, I noticed headache and blurred vision.",Hypertension
"I have symptoms like high fever, rash, eye pain and joint pain.",Dengue
"I feel high fever, eye pain, headache and rash.",Dengue
"I have symptoms like sensitivity to light, vomiting and nausea.",Migraine
I feel sweating and headache.,Malaria
"I am dealing with runny nose, skin rash and itchy eyes.",Allergy
I am suffering from prolonged fever and stomach pain.,Typhoid
I feel increased thirst and fatigue.,Diabetes
"I am suffering from high fever, eye pain and headache.",Dengue
"I have been experiencing nausea, sensitivity to light, vomiting and severe headache for the past few days.",Migraine
"I feel chills, headache and nausea.",Malaria
"I feel stomach pain, loss of appetite, indigestion and nausea.",Gastritis
"I am suffering from cough, wheezing and chest tightness.",Asthma
I am dealing with frequent urination and fatigue.,Diabetes
"I have been experiencing fever, chills, headache and sweating for the past few days.",Malaria
"My main problems are stomach cramps, fever and nausea.",Food Poisoning
"I am dealing with sore throat, headache, chills and fatigue.",Flu
I am dealing with fever and fatigue.,COVID-19
"Lately I am having chills, fever, nausea and headache.",Malaria
"Lately I am having fatigue, blurred vision, increased thirst and weight loss.",Diabetes
"My main problems are severe headache, sensitivity to light, vomiting and nausea.",Migraine
I have symptoms like loss of appetite and prolonged fever.,Typhoid
"I am suffering from sneezing, itchy eyes and skin rash.",Allergy
"I am suffering from stomach pain, indigestion and loss of appetite.",Gastritis
"I have been experiencing dry cough, fatigue, fever and loss of smell for the past few days.",COVID-19
"I am suffering from dizziness, pale skin and fatigue.",Anemia
"For the last few days, I noticed cough and chills.",Flu
"I have symptoms like headache, prolonged fever and weakness.",Typhoid
I am suffering from joint pain and eye pain.,Dengue
"For the last few days, I noticed vomiting, nausea, severe headache and sensitivity to light.",Migraine
"I have been experiencing congestion, sore throat, runny nose and mild cough for the past few days.",Common Cold
My main problems are shortness of breath and pale skin.,Anemia
"My main problems are headache, dizziness, blurred vision and chest discomfort.",Hypertension
"I have symptoms like dizziness, fatigue and pale skin.",Anemia
"For the last few days, I noticed diarrhea, nausea, vomiting and fever.",Food Poisoning
"I feel stomach pain, loss of appetite and headache.",Typhoid
"I am dealing with vomiting, nausea and stomach cramps.",Food Poisoning
I have been experiencing high fever and joint pain for the past few days.,Dengue
I feel headache and fever.,Malaria
"Lately I am having increased thirst, weight loss, fatigue and frequent urination.",Diabetes
"Lately I am having reduced movement, swelling, joint pain and stiffness.",Arthritis
Lately I am having sneezing and itchy eyes.,Allergy
"For the last few days, I noticed chills, sore throat, body pain and fatigue.",Flu
"I have symptoms like pale skin, dizziness, shortness of breath and fatigue.",Anemia
Lately I am having dizziness and fatigue.,Anemia
"For the last few days, I noticed nausea, sensitivity to light and vomiting.",Migraine
I feel nausea and sensitivity to light.,Migraine
"I have symptoms like sneezing, sore throat, runny nose and congestion.",Common Cold
I have symptoms like vomiting and sensitivity to light.,Migraine
"For the last few days, I noticed fatigue and fever.",Flu
"I am dealing with weakness, prolonged fever and loss of appetite.",Typhoid
"Lately I am having sore throat, fever, chills and cough.",Flu
"I feel headache, rash and joint pain.",Dengue
I feel wheezing and shortness of breath.,Asthma
"My main problems are fever, nausea and diarrhea.",Food Poisoning
"Lately I am having sore throat, runny nose, congestion and mild cough.",Common Cold
"I am dealing with indigestion, loss of appetite, bloating and stomach pain.",Gastritis
"My main problems are sneezing, itchy eyes and skin rash.",Allergy
I have symptoms like vomiting and severe headache.,Migraine
"I feel congestion, mild cough, runny nose and sneezing.",Common Cold
"I feel runny nose, mild cough, sore throat and sneezing.",Common Cold
"I am dealing with diarrhea, nausea, fever and stomach cramps.",Food Poisoning
"My main problems are loss of appetite, prolonged fever and weakness.",Typhoid
I feel chest tightness and cough.,Asthma
My main problems are fever and diarrhea.,Food Poisoning
I feel headache and stomach pain.,Typhoid
"For the last few days, I noticed increased thirst, fatigue and blurred vision.",Diabetes
My main problems are prolonged fever and headache.,Typhoid
I have symptoms like headache and prolonged fever.,Typhoid
"For the last few days, I noticed headache, fever and fatigue.",Flu
"I have symptoms like sensitivity to light, nausea, severe headache and vomiting.",Migraine
"I am suffering from fever, fatigue and cough.",Flu
"For the last few days, I noticed dizziness, blurred vision, chest discomfort and headache.",Hypertension
"I am suffering from fever, headache, shortness of breath and fatigue.",COVID-19
"My main problems are loss of appetite, nausea, stomach pain and indigestion.",Gastritis
I am suffering from vomiting and nausea.,Migraine
"I have symptoms like congestion, sore throat, mild cough and sneezing.",Common Cold
"I feel loss of appetite, stomach pain, indigestion and nausea.",Gastritis
I am dealing with reduced movement and stiffness.,Arthritis
"I have been experiencing eye pain, high fever and headache for the past few days.",Dengue
"For the last few days, I noticed stiffness, reduced movement, joint pain and swelling.",Arthritis
"Lately I am having eye pain, joint pain and rash.",Dengue
I have symptoms like sensitivity to light and nausea.,Migraine
"My main problems are sensitivity to light, vomiting, severe headache and nausea.",Migraine
"I have symptoms like cough, chest tightness, shortness of breath and wheezing.",Asthma
"I have been experiencing chills, headache, fever and nausea for the past few days.",Malaria
I am suffering from high fever and eye pain.,Dengue
"For the last few days, I noticed headache, body pain, fatigue and chills.",Flu
"I feel itchy eyes, skin rash, sneezing and runny nose.",Allergy
I feel sneezing and skin rash.,Allergy
I am dealing with sneezing and mild cough.,Common Cold
"My main problems are high fever, headache and rash.",Dengue
I am suffering from sweating and headache.,Malaria
"I have symptoms like vomiting, severe headache, nausea and sensitivity to light.",Migraine
"I have symptoms like pale skin, dizziness and fatigue.",Anemia
"For the last few days, I noticed joint pain, headache, eye pain and rash.",Dengue
"I am dealing with shortness of breath, cough, wheezing and chest tightness.",Asthma
"For the last few days, I noticed body pain, fatigue, headache and fever.",Flu
"For the last few days, I noticed headache, high fever, eye pain and rash.",Dengue
"I have been experiencing vomiting, severe headache and nausea for the past few days.",Migraine
"I have symptoms like sensitivity to light, severe headache and nausea.",Migraine
"I am dealing with pale skin, shortness of breath and fatigue.",Anemia
"I am dealing with fever, headache, fatigue and sore throat.",Flu
"For the last few days, I noticed high fever and eye pain.",Dengue
"I have symptoms like fever, nausea, stomach cramps and vomiting.",Food Poisoning
I am suffering from headache and chills.,Malaria
"I am dealing with joint pain, high fever and rash.",Dengue
"My main problems are swelling, stiffness and joint pain.",Arthritis
Lately I am having fever and nausea.,Food Poisoning
"I have been experiencing sore throat, sneezing, congestion and runny nose for the past few days.",Common Cold
"Lately I am having nausea, loss of appetite and indigestion.",Gastritis
"For the last few days, I noticed joint pain, reduced movement and swelling.",Arthritis
"I have been experiencing nausea, diarrhea and fever for the past few days.",Food Poisoning
I have symptoms like dizziness and headache.,Hypertension
"I have been experiencing frequent urination, blurred vision and weight loss for the past few days.",Diabetes
"My main problems are loss of appetite, indigestion, bloating and nausea.",Gastritis
I have been experiencing loss of appetite and nausea for the past few days.,Gastritis
"I have symptoms like rash, joint pain and high fever.",Dengue
"My main problems are itchy eyes, skin rash and sneezing.",Allergy
I feel eye pain and headache.,Dengue
"For the last few days, I noticed headache and prolonged fever.",Typhoid
"I feel sneezing, skin rash and itchy eyes.",Allergy
"I feel runny nose, itchy eyes, skin rash and sneezing.",Allergy
"I am dealing with joint pain, swelling and reduced movement.",Arthritis
I feel fatigue and pale skin.,Anemia
"For the last few days, I noticed fever, sore throat and cough.",Flu
I have symptoms like chills and fever.,Flu
"I am suffering from eye pain, rash, headache and high fever.",Dengue
"Lately I am having nausea, indigestion and bloating.",Gastritis
"I have been experiencing fever, nausea and chills for the past few days.",Malaria
"I am dealing with nausea, severe headache and sensitivity to light.",Migraine
"For the last few days, I noticed fever, headache, fatigue and cough.",Flu
"My main problems are sneezing, congestion and sore throat.",Common Cold
I feel sensitivity to light and nausea.,Migraine
I am dealing with nausea and diarrhea.,Food Poisoning
I have symptoms like headache and dizziness.,Hypertension
"I am suffering from joint pain, headache, eye pain and high fever.",Dengue
"I am suffering from fever, sore throat, chills and body pain.",Flu
"Lately I am having sore throat, congestion and runny nose.",Common Cold
"I have symptoms like dizziness, chest discomfort and headache.",Hypertension
I have symptoms like rash and eye pain.,Dengue
"I have symptoms like blurred vision, headache, dizziness and chest discomfort.",Hypertension
"I am dealing with runny nose, skin rash and itchy eyes.",Allergy
"I have symptoms like sore throat, fatigue, body pain and chills.",Flu
"Lately I am having weight loss, blurred vision, frequent urination and fatigue.",Diabetes
"For the last few days, I noticed dizziness, shortness of breath and pale skin.",Anemia
"I am dealing with bloating, stomach pain and nausea.",Gastritis
"I have been experiencing rash, high fever and eye pain for the past few days.",Dengue
"I have symptoms like shortness of breath, wheezing and chest tightness.",Asthma
I am suffering from vomiting and nausea.,Food Poisoning
"For the last few days, I noticed shortness of breath, pale skin, fatigue and dizziness.",Anemia
"I have symptoms like runny nose, sneezing and congestion.",Common Cold
"I have been experiencing cough, shortness of breath and chest tightness for the past few days.",Asthma
My main problems are blurred vision and weight loss.,Diabetes
"Lately I am having high fever, joint pain and headache.",Dengue
"I have symptoms like headache, dizziness and chest discomfort.",Hypertension
"I feel sneezing, itchy eyes, skin rash and runny nose.",Allergy
I have symptoms like mild cough and runny nose.,Common Cold
"I am dealing with fever, loss of smell, shortness of breath and headache.",COVID-19
"I feel dry cough, loss of smell and shortness of breath.",COVID-19
My main problems are rash and headache.,Dengue
"For the last few days, I noticed nausea, diarrhea and stomach cramps.",Food Poisoning
I feel joint pain and swelling.,Arthritis
I feel rash and high fever.,Dengue
I have been experiencing indigestion and stomach pain for the past few days.,Gastritis
Lately I am having sensitivity to light and severe headache.,Migraine
"For the last few days, I noticed chest discomfort and headache.",Hypertension
I am dealing with fever and shortness of breath.,COVID-19
I feel high fever and rash.,Dengue
"I am suffering from stomach pain, loss of appetite and prolonged fever.",Typhoid
"I am dealing with nausea, diarrhea and vomiting.",Food Poisoning
"Lately I am having sensitivity to light, vomiting, nausea and severe headache.",Migraine
"I am suffering from mild cough, sore throat, runny nose and sneezing.",Common Cold
"For the last few days, I noticed loss of smell, fatigue and headache.",COVID-19
"I feel chills, sweating, headache and fever.",Malaria
"I have been experiencing nausea, stomach cramps and diarrhea for the past few days.",Food Poisoning
"I feel prolonged fever, headache, stomach pain and loss of appetite.",Typhoid
I am dealing with loss of appetite and weakness.,Typhoid
I am dealing with stomach pain and nausea.,Gastritis
"I feel fatigue, body pain, fever and headache.",Flu
"Lately I am having joint pain, eye pain and headache.",Dengue
"My main problems are runny nose, skin rash and sneezing.",Allergy
"I am suffering from sore throat, mild cough, runny nose and sneezing.",Common Cold
I feel fatigue and pale skin.,Anemia
"For the last few days, I noticed fever, nausea and diarrhea.",Food Poisoning
I am dealing with rash and eye pain.,Dengue
"I have been experiencing sore throat, mild cough and sneezing for the past few days.",Common Cold
"My main problems are stomach pain, prolonged fever and loss of appetite.",Typhoid
"For the last few days, I noticed weight loss and blurred vision.",Diabetes
I feel prolonged fever and weakness.,Typhoid
"I am suffering from itchy eyes, skin rash, sneezing and runny nose.",Allergy
I feel cough and wheezing.,Asthma
"I have symptoms like shortness of breath, cough, wheezing and chest tightness.",Asthma
"For the last few days, I noticed sweating, chills and headache.",Malaria
"For the last few days, I noticed cough and wheezing.",Asthma
"I feel stomach pain, prolonged fever and weakness.",Typhoid
"Lately I am having stomach cramps, vomiting and nausea.",Food Poisoning
I feel diarrhea and vomiting.,Food Poisoning
"I have been experiencing joint pain, swelling, stiffness and reduced movement for the past few days.",Arthritis
I am dealing with stiffness and reduced movement.,Arthritis
I have been experiencing fatigue and loss of smell for the past few days.,COVID-19
My main problems are headache and dizziness.,Hypertension
"I have been experiencing pale skin, dizziness, fatigue and shortness of breath for the past few days.",Anemia
"I have been experiencing shortness of breath, wheezing and chest tightness for the past few days.",Asthma
"Lately I am having rash, high fever and joint pain.",Dengue
I am suffering from chills and nausea.,Malaria
"I have symptoms like joint pain, rash and high fever.",Dengue
"For the last few days, I noticed fever and headache.",Malaria
"I have symptoms like itchy eyes, runny nose, skin rash and sneezing.",Allergy
"Lately I am having eye pain, headache and joint pain.",Dengue
"I have been experiencing pale skin, shortness of breath, fatigue and dizziness for the past few days.",Anemia
Lately I am having stiffness and reduced movement.,Arthritis
"My main problems are fever, chills and sore throat.",Flu
I feel cough and headache.,Flu
Lately I am having stomach cramps and vomiting.,Food Poisoning
I feel runny nose and sneezing.,Common Cold
"I have symptoms like blurred vision, headache, chest discomfort and dizziness.",Hypertension
I feel mild cough and runny nose.,Common Cold
"I am dealing with fatigue, dizziness and shortness of breath.",Anemia
"For the last few days, I noticed skin rash, itchy eyes, runny nose and sneezing.",Allergy
"I am dealing with cough, body pain, sore throat and chills.",Flu
"Lately I am having weight loss, fatigue, frequent urination and increased thirst.",Diabetes
I have been experiencing dizziness and chest discomfort for the past few days.,Hypertension
"I have been experiencing wheezing, chest tightness and shortness of breath for the past few days.",Asthma
"I have symptoms like frequent urination, blurred vision and increased thirst.",Diabetes
"I am suffering from weakness, loss of appetite, prolonged fever and headache.",Typhoid
"I have symptoms like skin rash, itchy eyes, runny nose and sneezing.",Allergy
"I am dealing with diarrhea, stomach cramps and vomiting.",Food Poisoning
"I am dealing with pale skin, fatigue and shortness of breath.",Anemia
I am dealing with indigestion and nausea.,Gastritis
I feel increased thirst and frequent urination.,Diabetes
"I am dealing with loss of appetite, stomach pain and bloating.",Gastritis
"I feel prolonged fever, loss of appetite, stomach pain and headache.",Typhoid
"For the last few days, I noticed headache, nausea and fever.",Malaria
"I feel fever, chills, nausea and sweating.",Malaria
"I am dealing with chills, fever and headache.",Malaria
"For the last few days, I noticed stomach pain, weakness and headache.",Typhoid
"I am suffering from fatigue, shortness of breath and pale skin.",Anemia
I feel frequent urination and weight loss.,Diabetes
"I have symptoms like sneezing, skin rash, itchy eyes and runny nose.",Allergy
"I am dealing with weakness, loss of appetite and stomach pain.",Typhoid
"For the last few days, I noticed stomach pain and loss of appetite.",Gastritis
Lately I am having vomiting and sensitivity to light.,Migraine
"I am dealing with runny nose, congestion, sneezing and mild cough.",Common Cold
I am dealing with headache and chills.,Flu
I am dealing with shortness of breath and wheezing.,Asthma
"My main problems are blurred vision, dizziness, headache and chest discomfort.",Hypertension
"I feel sore throat, headache, body pain and fatigue.",Flu
I have been experiencing dry cough and fever for the past few days.,COVID-19
"I feel weakness, stomach pain, loss of appetite and prolonged fever.",Typhoid
"I have been experiencing sore throat, sneezing and mild cough for the past few days.",Common Cold
"My main problems are fatigue, shortness of breath, pale skin and dizziness.",Anemia
"I am dealing with fatigue, fever and sore throat.",Flu
"Lately I am having fatigue, shortness of breath, dizziness and pale skin.",Anemia
"For the last few days, I noticed sneezing, runny nose, skin rash and itchy eyes.",Allergy
"I have symptoms like severe headache, vomiting and nausea.",Migraine
"I am dealing with sneezing, runny nose and sore throat.",Common Cold
"I am suffering from runny nose, sneezing, itchy eyes and skin rash.",Allergy
"I am dealing with headache, high fever, rash and joint pain.",Dengue
I am suffering from shortness of breath and fatigue.,Anemia
"Lately I am having nausea, diarrhea, vomiting and stomach cramps.",Food Poisoning
My main problems are prolonged fever and headache.,Typhoid
"My main problems are chest discomfort, blurred vision and dizziness.",Hypertension
I have symptoms like stiffness and joint pain.,Arthritis
"I feel chest tightness, shortness of breath and wheezing.",Asthma
"I am suffering from stomach pain, indigestion, loss of appetite and bloating.",Gastritis
"I feel fatigue, shortness of breath and dry cough.",COVID-19
"I am suffering from joint pain, headache, eye pain and rash.",Dengue
"I feel skin rash, runny nose and itchy eyes.",Allergy
I have symptoms like headache and chills.,Malaria
"My main problems are dizziness, headache, chest discomfort and blurred vision.",Hypertension
"My main problems are fatigue, frequent urination, blurred vision and weight loss.",Diabetes
"I am dealing with congestion, sore throat and sneezing.",Common Cold
I feel headache and fever.,COVID-19
"I have been experiencing joint pain, rash and high fever for the past few days.",Dengue
I am suffering from rash and eye pain.,Dengue
"For the last few days, I noticed blurred vision, headache, dizziness and chest discomfort.",Hypertension
"My main problems are blurred vision, chest discomfort and dizziness.",Hypertension
"I have been experiencing chills, fever and sweating for the past few days.",Malaria
"Lately I am having dizziness, pale skin and shortness of breath.",Anemia
I have been experiencing fatigue and dry cough for the past few days.,COVID-19
"For the last few days, I noticed shortness of breath and pale skin.",Anemia
I am dealing with chest discomfort and dizziness.,Hypertension
"Lately I am having chills, nausea and fever.",Malaria
"For the last few days, I noticed nausea and stomach pain.",Gastritis
"For the last few days, I noticed vomiting, fever and nausea.",Food Poisoning
"I feel loss of appetite, weakness, stomach pain and headache.",Typhoid
"I am dealing with itchy eyes, sneezing and runny nose.",Allergy
"I feel sneezing, skin rash and itchy eyes.",Allergy
I am suffering from vomiting and nausea.,Food Poisoning
My main problems are joint pain and high fever.,Dengue
"I am dealing with sensitivity to light, nausea and vomiting.",Migraine
"I am dealing with increased thirst, fatigue, weight loss and frequent urination.",Diabetes
"I feel nausea, fever, stomach cramps and vomiting.",Food Poisoning
"For the last few days, I noticed skin rash, itchy eyes and runny nose.",Allergy
"I am dealing with runny nose, sneezing and sore throat.",Common Cold
"My main problems are nausea, fever, chills and sweating.",Malaria
"My main problems are increased thirst, fatigue, weight loss and frequent urination.",Diabetes
"I have been experiencing nausea, loss of appetite and stomach pain for the past few days.",Gastritis
Lately I am having runny nose and itchy eyes.,Allergy
I feel sensitivity to light and nausea.,Migraine
"Lately I am having dizziness, headache, chest discomfort and blurred vision.",Hypertension
"I am suffering from cough, shortness of breath, wheezing and chest tightness.",Asthma
"My main problems are vomiting, diarrhea, fever and stomach cramps.",Food Poisoning
"I have been experiencing joint pain, stiffness and swelling for the past few days.",Arthritis
I am dealing with chills and headache.,Flu
"My main problems are mild cough, runny nose and sore throat.",Common Cold
"I am dealing with sneezing, runny nose and congestion.",Common Cold
I have been experiencing vomiting and fever for the past few days.,Food Poisoning
"I feel sore throat, mild cough, congestion and runny nose.",Common Cold
"For the last few days, I noticed chills, sore throat and fever.",Flu
I have symptoms like reduced movement and swelling.,Arthritis
"I feel prolonged fever, loss of appetite and headache.",Typhoid
I feel fever and chills.,Flu
I am suffering from fatigue and increased thirst.,Diabetes
I have been experiencing fever and shortness of breath for the past few days.,COVID-19
"I am suffering from indigestion, nausea, loss of appetite and bloating.",Gastritis
I have been experiencing bloating and indigestion for the past few days.,Gastritis
"For the last few days, I noticed chest tightness, shortness of breath, cough and wheezing.",Asthma
"I have been experiencing chest tightness, cough and shortness of breath for the past few days.",Asthma
"I have been experiencing stomach pain, bloating and nausea for the past few days.",Gastritis
"Lately I am having stomach cramps, vomiting, nausea and fever.",Food Poisoning
I feel fatigue and fever.,COVID-19
"I feel nausea, loss of appetite and stomach pain.",Gastritis
"Lately I am having nausea, sweating and fever.",Malaria
My main problems are shortness of breath and pale skin.,Anemia
Lately I am having sneezing and runny nose.,Common Cold
"I feel shortness of breath, wheezing and cough.",Asthma
I am dealing with headache and chills.,Malaria
"For the last few days, I noticed shortness of breath, loss of smell and fatigue.",COVID-19
I have been experiencing chest discomfort and dizziness for the past few days.,Hypertension
"My main problems are joint pain, eye pain and headache.",Dengue
Lately I am having sore throat and runny nose.,Common Cold
"I have been experiencing high fever, joint pain, eye pain and rash for the past few days.",Dengue
"I am dealing with severe headache, nausea and sensitivity to light.",Migraine
"I am dealing with mild cough, congestion and sore throat.",Common Cold
"I am dealing with fatigue, shortness of breath and dizziness.",Anemia
I have symptoms like headache and chills.,Malaria
"I feel shortness of breath, chest tightness and wheezing.",Asthma
"I have been experiencing sensitivity to light, nausea and severe headache for the past few days.",Migraine
"I feel blurred vision, frequent urination, fatigue and weight loss.",Diabetes
I have symptoms like pale skin and dizziness.,Anemia
"I have been experiencing vomiting, fever and nausea for the past few days.",Food Poisoning
My main problems are headache and body pain.,Flu
I have symptoms like fatigue and sore throat.,Flu
My main problems are blurred vision and dizziness.,Hypertension
"I am suffering from dizziness, headache and chest discomfort.",Hypertension
"Lately I am having mild cough, sneezing, congestion and runny nose.",Common Cold
"I am suffering from loss of smell, shortness of breath, dry cough and fever.",COVID-19
"I have been experiencing shortness of breath, fatigue, dizziness and pale skin for the past few days.",Anemia
"I am suffering from pale skin, shortness of breath and fatigue.",Anemia
"I feel weakness, loss of appetite and prolonged fever.",Typhoid
"For the last few days, I noticed severe headache and vomiting.",Migraine
"I have symptoms like sore throat, headache, fever and fatigue.",Flu
Lately I am having sensitivity to light and severe headache.,Migraine
"I have been experiencing headache, sweating and chills for the past few days.",Malaria
"My main problems are joint pain, swelling and reduced movement.",Arthritis
I feel rash and joint pain.,Dengue
"I have symptoms like diarrhea, nausea and fever.",Food Poisoning
"My main problems are vomiting, severe headache and nausea.",Migraine
"My main problems are vomiting, sensitivity to light, nausea and severe headache.",Migraine
"I have symptoms like stomach pain, prolonged fever and weakness.",Typhoid
My main problems are dizziness and chest discomfort.,Hypertension
"I am dealing with cough, fatigue and fever.",Flu
"I am dealing with skin rash, runny nose and itchy eyes.",Allergy
"My main problems are shortness of breath, dry cough and headache.",COVID-19
"I feel headache, chest discomfort, blurred vision and dizziness.",Hypertension
"I have been experiencing headache, stomach pain, prolonged fever and loss of appetite for the past few days.",Typhoid
I have symptoms like shortness of breath and headache.,COVID-19
"I feel fever, chills, fatigue and cough.",Flu
I am dealing with sore throat and body pain.,Flu
I have been experiencing headache and prolonged fever for the past few days.,Typhoid
Lately I am having fatigue and dizziness.,Anemia
"I have symptoms like sneezing, sore throat, congestion and mild cough.",Common Cold
"For the last few days, I noticed skin rash and runny nose.",Allergy
"I am suffering from diarrhea, vomiting, fever and stomach cramps.",Food Poisoning
I am dealing with sore throat and sneezing.,Common Cold
"Lately I am having chest tightness, wheezing and cough.",Asthma
I have symptoms like headache and sweating.,Malaria
"I have symptoms like shortness of breath, dizziness, pale skin and fatigue.",Anemia
"My main problems are vomiting, nausea and stomach cramps.",Food Poisoning
I have been experiencing reduced movement and joint pain for the past few days.,Arthritis
Lately I am having diarrhea and nausea.,Food Poisoning
